iter	RMSE
0	14.6507028
1	14.29037986
2	13.94189113
3	13.59672927
4	13.27581815
5	13.0126639
6	12.73801342
7	12.48020303
8	12.23586195
9	11.94696737
10	11.67541976
11	11.42473001
12	11.18851652
13	10.96876504
14	10.73931879
15	10.50468945
16	10.28015389
17	10.084144
18	9.88451684
19	9.698086696
20	9.55327545
21	9.380958568
22	9.221703619
23	9.053231012
24	8.90150738
25	8.759319265
26	8.633391504
27	8.522481343
28	8.386538404
29	8.255799749
30	8.142957652
31	8.031160465
32	7.930233689
33	7.826088059
34	7.71353223
35	7.608056555
36	7.515601776
37	7.427117886
38	7.33713884
39	7.262993256
40	7.178235108
41	7.099734412
42	7.025802258
43	6.964511601
44	6.889296499
45	6.81951295
46	6.755519822
47	6.695076321
48	6.638633207
49	6.581009863
50	6.524460705
51	6.478118153
52	6.434357985
53	6.386617069
54	6.336221747
55	6.295827146
56	6.261383031
57	6.223784263
58	6.186225561
59	6.153770572
60	6.125135096
61	6.088999782
62	6.058146379
63	6.023452705
64	5.990585117
65	5.959651676
66	5.93043288
67	5.901560012
68	5.875070932
69	5.851563044
70	5.827158104
71	5.807239868
72	5.786233917
73	5.765955583
74	5.743143397
75	5.720888111
76	5.704536551
77	5.68804448
78	5.669839432
79	5.652044449
80	5.639206758
81	5.623271221
82	5.606783278
83	5.592990369
84	5.577706543
85	5.558882093
86	5.541808544
87	5.529089225
88	5.513229298
89	5.498585747
90	5.488323348
91	5.47780747
92	5.467948141
93	5.459216445
94	5.448128118
95	5.437818893
96	5.425892399
97	5.425331879
98	5.413705538
99	5.401961649
100	5.389692295
101	5.38186101
102	5.371516336
103	5.36120564
104	5.35618936
105	5.349016971
106	5.339657361
107	5.327794861
108	5.313077278
109	5.303406606
110	5.297224497
111	5.285487385
112	5.278467715
113	5.272101018
114	5.26492205
115	5.257126082
116	5.246804685
117	5.240692113
118	5.236343558
119	5.231180129
120	5.223701589
121	5.216733511
122	5.208908989
123	5.204378443
124	5.199309089
125	5.191790274
126	5.184618855
127	5.177183979
128	5.1730836
129	5.166276393
130	5.160712224
131	5.155717505
132	5.148596355
133	5.14205677
134	5.132606696
135	5.127949543
136	5.120418522
137	5.116844928
138	5.111197712
139	5.106822222
140	5.100138307
141	5.093925993
142	5.088897399
143	5.084730821
144	5.078742031
145	5.068827259
146	5.064468725
147	5.06076811
148	5.055857938
149	5.052182655
150	5.042626038
151	5.033176568
152	5.028179961
153	5.02448195
154	5.014862094
155	5.011638619
156	5.007557289
157	5.001305031
158	4.994099911
159	4.989032277
160	4.988704201
161	4.982216527
162	4.977350245
163	4.97385908
164	4.969593195
165	4.966518577
166	4.959020991
167	4.954620936
168	4.949833031
169	4.944785418
170	4.937950634
171	4.933702437
172	4.927257446
173	4.9224832
174	4.916264535
175	4.909410648
176	4.903457818
177	4.900034481
178	4.89800611
179	4.895376639
180	4.88850124
181	4.883816735
182	4.879815758
183	4.875988267
184	4.867788495
185	4.85919103
186	4.853841439
187	4.848521422
188	4.844514054
189	4.836349549
190	4.833503273
191	4.829128797
192	4.824980156
193	4.822209512
194	4.818287292
195	4.812611204
196	4.805368888
197	4.800455477
198	4.796363808
199	4.788497147
200	4.782075015
201	4.777220972
202	4.769461072
203	4.765665612
204	4.761685235
205	4.756393189
206	4.74859462
207	4.744118823
208	4.740984752
209	4.734997073
210	4.732878393
211	4.730814014
212	4.725624047
213	4.724422226
214	4.716348483
215	4.710473288
216	4.709118138
217	4.703559746
218	4.698768481
219	4.694987509
220	4.691848897
221	4.687010622
222	4.683729481
223	4.681512602
224	4.680625532
225	4.674472168
226	4.670302827
227	4.664305792
228	4.66255493
229	4.659877948
230	4.654316256
231	4.651408133
232	4.648301069
233	4.644627087
234	4.638324655
235	4.634170954
236	4.626768237
237	4.62210932
238	4.617929283
239	4.613067602
240	4.607252989
241	4.602344111
242	4.597222047
243	4.594944069
244	4.589885988
245	4.588312066
246	4.581031426
247	4.578460589
248	4.572471942
249	4.568596895
250	4.562361083
251	4.557023311
252	4.553730649
253	4.548681587
254	4.543994208
255	4.541327039
256	4.538163611
257	4.535796096
258	4.532750995
259	4.52833397
260	4.523752538
261	4.516481635
262	4.509717284
263	4.505979783
264	4.503618929
265	4.49917879
266	4.496827614
267	4.489955666
268	4.483708578
269	4.480970027
270	4.475469625
271	4.472646564
272	4.4707015
273	4.468222539
274	4.462542505
275	4.460385324
276	4.459679054
277	4.454189371
278	4.446652722
279	4.439738805
280	4.436876103
281	4.432584852
282	4.42912626
283	4.426303521
284	4.420056943
285	4.416910104
286	4.411025102
287	4.410871354
288	4.405229016
289	4.401561325
290	4.397822246
291	4.394629885
292	4.391385516
293	4.385153168
294	4.377863152
295	4.372263512
296	4.3662832
297	4.359574828
298	4.353756845
299	4.347541798
300	4.3451183
301	4.342346436
302	4.337132212
303	4.330465286
304	4.326161215
305	4.322274309
306	4.318691901
307	4.313188395
308	4.311057172
309	4.308900087
310	4.306657477
311	4.301943824
312	4.298392613
313	4.29610152
314	4.289813355
315	4.286612413
316	4.28324331
317	4.280299882
318	4.274247491
319	4.26911115
320	4.262865307
321	4.256261508
322	4.255532257
323	4.249496922
324	4.246998984
325	4.242122327
326	4.240044669
327	4.236968157
328	4.233086002
329	4.229982155
330	4.224835919
331	4.221067387
332	4.216044505
333	4.212206323
334	4.209676514
335	4.207677392
336	4.204932732
337	4.198507618
338	4.196286673
339	4.19370815
340	4.18877331
341	4.185053196
342	4.179267835
343	4.173856178
344	4.168940324
345	4.164363435
346	4.161847169
347	4.157559143
348	4.154960119
349	4.149549836
350	4.146080866
351	4.141265096
352	4.13798487
353	4.131664604
354	4.129345589
355	4.128818413
356	4.127016212
357	4.122401524
358	4.11772262
359	4.113616467
360	4.10775795
361	4.106009776
362	4.098891301
363	4.093048562
364	4.090920842
365	4.087791548
366	4.084993327
367	4.081592137
368	4.081153447
369	4.07664778
370	4.072663091
371	4.068233567
372	4.064537146
373	4.063424995
374	4.058861284
375	4.052190583
376	4.048663449
377	4.044553421
