iter	Passed	Remaining
0	137	137791
1	138	69183
2	139	46302
3	140	34860
4	140	27981
5	141	23413
6	142	20179
7	142	17718
8	143	15806
9	144	14276
10	144	13019
11	145	11979
12	146	11098
13	146	10336
14	147	9672
15	147	9100
16	148	8590
17	149	8145
18	150	7754
19	150	7391
20	151	7062
21	152	6764
22	152	6493
23	153	6244
24	154	6021
25	155	5810
26	155	5612
27	156	5428
28	157	5260
29	157	5101
30	158	4950
31	159	4810
32	159	4680
33	160	4560
34	161	4443
35	161	4331
36	162	4228
37	163	4128
38	163	4037
39	164	3947
40	165	3862
41	165	3779
42	166	3698
43	166	3622
44	167	3550
45	167	3481
46	168	3414
47	169	3351
48	169	3289
49	170	3230
50	170	3173
51	171	3118
52	171	3064
53	172	3013
54	172	2964
55	173	2917
56	173	2871
57	174	2826
58	174	2783
59	175	2742
60	175	2703
61	176	2665
62	177	2636
63	177	2600
64	178	2566
65	178	2531
66	179	2498
67	179	2466
68	180	2436
69	181	2405
70	181	2376
71	182	2347
72	182	2319
73	183	2291
74	183	2264
75	184	2239
76	184	2214
77	185	2189
78	185	2165
79	186	2141
80	186	2117
81	187	2094
82	187	2072
83	188	2050
84	188	2029
85	189	2009
86	189	1989
87	190	1969
88	190	1950
89	191	1932
90	191	1914
91	192	1897
92	192	1880
93	193	1865
94	194	1849
95	194	1833
96	195	1818
97	195	1800
98	196	1785
99	196	1770
100	197	1755
101	197	1740
102	198	1726
103	198	1712
104	199	1696
105	199	1681
106	199	1667
107	200	1654
108	200	1640
109	201	1627
110	201	1614
111	202	1602
112	202	1589
113	202	1577
114	203	1565
115	203	1553
116	204	1542
117	204	1529
118	205	1517
119	205	1506
120	205	1496
121	206	1485
122	206	1474
123	207	1464
124	207	1454
125	208	1445
126	208	1436
127	209	1427
128	210	1418
129	210	1409
130	211	1401
131	211	1392
132	212	1384
133	212	1375
134	213	1366
135	213	1357
136	214	1349
137	214	1340
138	215	1332
139	215	1324
140	216	1316
141	216	1308
142	216	1300
143	217	1292
144	217	1284
145	218	1276
146	218	1268
147	219	1261
148	219	1254
149	220	1246
150	220	1239
151	220	1232
152	221	1225
153	221	1218
154	222	1211
155	222	1205
156	223	1199
157	223	1193
158	224	1187
159	225	1182
160	225	1175
161	226	1170
162	226	1163
163	227	1157
164	227	1151
165	228	1145
166	228	1139
167	228	1133
168	229	1128
169	229	1122
170	230	1116
171	230	1110
172	231	1105
173	231	1099
174	232	1094
175	232	1088
176	232	1083
177	233	1077
178	234	1073
179	234	1068
180	234	1062
181	235	1057
182	235	1052
183	236	1047
184	236	1042
185	237	1037
186	237	1032
187	238	1028
188	238	1024
189	239	1020
190	240	1016
191	240	1012
192	241	1008
193	241	1004
194	242	999
195	242	995
196	243	990
197	243	986
